,Category,Rating,Reviews,Size,Type,Price,Content Rating,Genres,Installs
2785,0.71875,0.8,0.001990048221932754,0.028197381671701913,0.0,0.0,0.25,0.6444444444444445,10000000
2786,0.71875,0.825,0.011046136414964469,0.0,0.0,0.0,0.25,0.6444444444444445,50000000
2787,0.71875,0.8,0.0019321561530192296,0.0,0.0,0.0,0.25,0.6444444444444445,5000000
2788,0.71875,0.75,0.000679312976396987,0.004934541792547835,0.0,0.0,0.25,0.6444444444444445,1000000
2789,0.71875,0.8,0.0021804527640923582,0.013091641490433032,1.0,0.0622655663915979,0.25,0.6444444444444445,1000000
2790,0.71875,0.725,0.0005576705799611426,0.013091641490433032,0.0,0.0,0.25,0.6444444444444445,1000000
2791,0.71875,0.825,0.0013056566030916416,0.025176233635448138,1.0,0.024756189047261814,0.25,0.6444444444444445,1000000
2792,0.71875,0.7749999999999999,0.0013877167731098893,0.0009063444108761329,0.0,0.0,0.25,0.6444444444444445,1000000
2793,0.71875,0.8,0.0008294225002170117,0.0029204431017119835,0.0,0.0,0.25,0.6444444444444445,5000000
2794,0.71875,0.8500000000000001,3.541684862351081e-05,0.783484390735146,1.0,0.024756189047261814,0.25,0.6444444444444445,10000
2795,0.71875,0.825,0.013256125494323982,0.0,0.0,0.0,0.25,0.6444444444444445,10000000
2796,0.71875,0.825,0.002230348198631141,0.0,0.0,0.0,0.25,0.6444444444444445,5000000
2797,0.71875,0.8500000000000001,0.006564368106508576,0.004128902316213494,0.0,0.0,1.0,0.6444444444444445,10000000
2798,0.71875,0.825,0.0014171862641343576,0.00906344410876133,0.0,0.0,0.25,0.6444444444444445,5000000
2799,0.71875,0.7749999999999999,0.002516511880559596,0.012084592145015106,0.0,0.0,0.25,0.6444444444444445,10000000
2800,0.71875,0.8,0.0012930713707191362,0.0030211480362537764,0.0,0.0,1.0,0.6444444444444445,5000000
2801,0.71875,0.7749999999999999,0.00027128415055706806,0.004431017119838872,0.0,0.0,0.25,0.6444444444444445,1000000
2802,0.71875,0.7749999999999999,0.002638622046694241,0.0023162134944612286,0.0,0.0,0.25,0.6444444444444445,10000000
2803,0.71875,0.8,0.0025054190562737414,0.0033232628398791536,0.0,0.0,0.25,0.6444444444444445,10000000
2804,0.71875,0.7749999999999999,0.0015462238767607716,0.8580060422960725,0.0,0.0,0.25,0.6444444444444445,10000000
2805,0.71875,0.8500000000000001,0.016346033926623465,0.02014098690835851,0.0,0.0,0.25,0.6444444444444445,10000000
2806,0.71875,0.7749999999999999,0.0035081390925227746,0.005438066465256798,0.0,0.0,0.25,0.6444444444444445,10000000
2807,0.71875,0.825,0.001926320169157997,0.007653575025176233,0.0,0.0,0.25,0.6444444444444445,10000000
2808,0.71875,0.8999999999999999,0.010802807072597656,0.001107754279959718,0.0,0.0,0.25,0.6444444444444445,10000000
2809,0.71875,0.7749999999999999,0.001731260204757944,0.006143001007049345,0.0,0.0,1.0,0.6444444444444445,5000000
2810,0.71875,0.8999999999999999,0.0532407452266274,0.0,0.0,0.0,1.0,0.6444444444444445,100000000
2811,0.71875,0.8,0.0007366927261165868,0.0023162134944612286,0.0,0.0,0.25,0.6444444444444445,1000000
2812,0.71875,0.7749999999999999,0.0007967677202911835,0.0025176233635448137,0.0,0.0,0.25,0.6444444444444445,5000000
2813,0.71875,0.8,0.00646502273238225,0.0031218529707955685,0.0,0.0,0.25,0.6444444444444445,50000000
2814,0.71875,0.875,0.0015478053838376704,0.00876132930513595,0.0,0.0,0.25,0.6444444444444445,1000000
2815,0.71875,0.825,0.00023165737464434744,0.0023162134944612286,0.0,0.0,0.25,0.6444444444444445,1000000
2816,0.71875,0.8,0.0006416241035221566,0.006143001007049345,0.0,0.0,0.25,0.6444444444444445,1000000
2817,0.71875,0.75,0.0002526401868477105,0.0074521651560926485,0.0,0.0,0.25,0.6444444444444445,1000000
2818,0.71875,0.8,0.0014863716300617944,0.006042296072507553,0.0,0.0,0.25,0.6444444444444445,5000000
2819,0.71875,0.8,0.0005748221355838491,0.004531722054380664,0.0,0.0,0.25,0.6444444444444445,1000000
2820,0.71875,0.825,0.0059340150252527694,0.0,0.0,0.0,0.25,0.6444444444444445,10000000
2821,0.71875,0.8500000000000001,0.011407009600215727,0.0,0.0,0.0,0.25,0.6444444444444445,10000000
